hrtf_type,dataset,name_gui,name_short,url,url_alternative,gdrive_url_high,flip_polarity,ash_version_reference,local_version,subject,attribution,license,comments,name_gui_original,name_short_original,default,id
Dummy Head / Head & Torso Simulator,MMHR,HEAD acoustics HMSII.2 (MMHR-HRIR),MMHR-HMSII.2,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/1CiDOggoaG2FDWGVQzDm4Tbj12hbWVpI7/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"J. Thiemann and S. van de Par, ‘A multiple model high-resolution head-related impulse response database for aided and unaided ears (SOFA format)’, EURASIP Journal on Advances in Signal Processing, vol. 2019, no. 9. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3767044.",Creative Commons Attribution 4.0 International,"Extracted from SOFA with correct coordinates, provided as npy",HEAD acoustics HMSII.2 (MMHR-HRIR),HMSII.2-MMHR,,11
Dummy Head / Head & Torso Simulator,MMHR,KEMAR (MMHR-HRIR),MMHR-KEMAR,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/1R-a4n-B6sS1HJaHmQXTsGKwAHZhu1l0o/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"J. Thiemann and S. van de Par, ‘A multiple model high-resolution head-related impulse response database for aided and unaided ears (SOFA format)’, EURASIP Journal on Advances in Signal Processing, vol. 2019, no. 9. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3767044.",Creative Commons Attribution 4.0 International,"Extracted from SOFA with correct coordinates, provided as npy",KEMAR (MMHR-HRIR),KEMAR-MMHR,,12
Dummy Head / Head & Torso Simulator,MIT-KEMAR,KEMAR-N (MIT),MIT-KEMAR-N,https://sofacoustics.org/data/database/mit/mit_kemar_normal_pinna.sofa,https://drive.google.com/file/d/1TSuW1uwDVd66jQqU5jD3SppNq3H4aLtF/view?usp=drive_link,,no,3.1.0,1.0.0,N/A,"B. Gardner and K. Martin, ""HRTF measurements of a KEMAR dummy-head microphone,” MIT Media Lab Perceptual Computing Group, Cambridge, MA, USA, Technical Report No. 280, May 1994. Data from the MIT-KEMAR HRTF Database. [Online]. Available: http://sound.media.mit.edu/resources/KEMAR.html","Copyright 1994 by the MIT Media Lab. Provided free with no usage restrictions, provided appropriate citation of the authors is included when the data are used in research or commercial applications.",,KEMAR-N (MIT),KEMAR-N-MIT,,13
Dummy Head / Head & Torso Simulator,MIT-KEMAR,KEMAR-L (MIT),MIT-KEMAR-L,https://sofacoustics.org/data/database/mit/mit_kemar_large_pinna.sofa,https://drive.google.com/file/d/1bSdcWkKC7zgqxQm8dfwAI1Q8HfQzoo-D/view?usp=drive_link,,no,3.1.0,1.0.0,N/A,"B. Gardner and K. Martin, ""HRTF measurements of a KEMAR dummy-head microphone,” MIT Media Lab Perceptual Computing Group, Cambridge, MA, USA, Technical Report No. 280, May 1994. Data from the MIT-KEMAR HRTF Database. [Online]. Available: http://sound.media.mit.edu/resources/KEMAR.html","Copyright 1994 by the MIT Media Lab. Provided free with no usage restrictions, provided appropriate citation of the authors is included when the data are used in research or commercial applications.",,KEMAR-L (MIT),KEMAR-L-MIT,,14
Dummy Head / Head & Torso Simulator,PKU-IOA,KEMAR-N (PKU-IOA),PKU-KEMAR-N,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/13Vx9yYTwL1MrUj7udXgiV72DhNNxURqu/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"C. Qu, ""PKU-IOA HRTF Database: High spatial resolution head-related transfer functions of a KEMAR dummy head at distances from 20 cm to 160 cm,” Peking University & Institute of Acoustics, China, 2009. Data from the PKU-IOA HRTF Database. [Online]. Available: http://www.cis.pku.edu.cn/auditory/Staff/Dr.Qu.files/Qu-HRTF-Database.html",PKU-IOA HRTF Database (© 2009 Peking University & Institute of Acoustics). Free for research and educational use; proper citation of the dataset and Qu (2009) reference required. Redistribution of modified measured data not permitted without permission.,"L and N variants extracted from SOFA, provided as npy",KEMAR-N (PKU-IOA),KEMAR-N-PKU,,15
Dummy Head / Head & Torso Simulator,PKU-IOA,KEMAR-L (PKU-IOA),PKU-KEMAR-L,N/A - preprocessed and provided as NPY dataset,,https://drive.google.com/file/d/1xTxB7pQMH3iAE4bFimOcRvj03JgHsKdB/view?usp=drive_link,no,3.1.0,1.0.0,N/A,"C. Qu, ""PKU-IOA HRTF Database: High spatial resolution head-related transfer functions of a KEMAR dummy head at distances from 20 cm to 160 cm,” Peking University & Institute of Acoustics, China, 2009. Data from the PKU-IOA HRTF Database. [Online]. Available: http://www.cis.pku.edu.cn/auditory/Staff/Dr.Qu.files/Qu-HRTF-Database.html",PKU-IOA HRTF Database (© 2009 Peking University & Institute of Acoustics). Free for research and educational use; proper citation of the dataset and Qu (2009) reference required. Redistribution of modified measured data not permitted without permission.,,KEMAR-L (PKU-IOA),KEMAR-L-PKU,,16
Dummy Head / Head & Torso Simulator,AXD (KEMAR),kemar_largeears,AXD-kemar_large,https://sofacoustics.org/data/database/axd (kemar)/kemar_knowl_earsim_largeears_windowed_48khz.sofa,https://drive.google.com/file/d/1PAFHwpqei0NCDwGpetRou3rqht6ZONKM/view?usp=drive_link,,yes,3.1.0,1.0.1,kemar_largeears,"I. Engel, R. Daugintis, T. Vicente, A. O. T. Hogg, J. Pauwels, A. J. Tournier, and L. Picinali, ""The SONICOM HRTF Dataset,” J. Audio Eng. Soc., vol. 71, no. 5, pp. 241–253, May 2023, doi:10.17743/jaes.2022.0066. Data from the SONICOM HRTF Database, Audio Experience Design Team, Imperial College London, UK. [Online]. Available: https://transfer.ic.ac.uk:9090/#/2022_SONICOM-HRTF-DATASET/",SONICOM HRTF Dataset provided by the Audio Experience Design Team (Imperial College London). Academic/research use permitted; proper citation required. [Online]. Available: https://transfer.ic.ac.uk:9090/#/2022_SONICOM-HRTF-DATASET/,20250402: updated with corrected sample rate,,,,17
Dummy Head / Head & Torso Simulator,AXD (KEMAR),kemar_smallears,AXD-kemar_small,https://sofacoustics.org/data/database/axd (kemar)/kemar_knowl_earsim_smallears_windowed_48khz.sofa,https://drive.google.com/file/d/1B6q3CTaBeb3Df5dQ3PQqh2as0MvlJDTr/view?usp=drive_link,,yes,3.1.0,1.0.1,kemar_smallears,"I. Engel, R. Daugintis, T. Vicente, A. O. T. Hogg, J. Pauwels, A. J. Tournier, and L. Picinali, ""The SONICOM HRTF Dataset,” J. Audio Eng. Soc., vol. 71, no. 5, pp. 241–253, May 2023, doi:10.17743/jaes.2022.0066. Data from the SONICOM HRTF Database, Audio Experience Design Team, Imperial College London, UK. [Online]. Available: https://transfer.ic.ac.uk:9090/#/2022_SONICOM-HRTF-DATASET/",SONICOM HRTF Dataset provided by the Audio Experience Design Team (Imperial College London). Academic/research use permitted; proper citation required. [Online]. Available: https://transfer.ic.ac.uk:9090/#/2022_SONICOM-HRTF-DATASET/,20250402: updated with corrected sample rate,,,,18
Dummy Head / Head & Torso Simulator,SCUT,KEMAR,SCUT-KEMAR,https://sofacoustics.org/data/database/scut/SCUT_KEMAR_radius_1.sofa,https://drive.google.com/file/d/1nu_2JwaISIkDq_-kUMCu5YagBtkP7I6P/view?usp=drive_link,,no,3.1.0,1.0.0,KEMAR,"B. Xie, Y. Yu, Y. Liu, and G. Yu, ""Near-field head-related transfer function measurements using a KEMAR dummy head for multiple distances,” South China University of Technology, Guangzhou, China, 2013. Data from the SCUT near-field HRTF database. [Online]. Available: https://sofacoustics.org/mediawiki/index.php/Files",Data from the SCUT near-field HRTF database. Usage subject to source repository terms and research use policies; proper citation required.,,,,,19
Dummy Head / Head & Torso Simulator,VIKING,subj_A,VIKING-subj_A,https://sofacoustics.org/data/database/viking/subj_A.sofa,https://drive.google.com/file/d/1JwmwRcsFuGy5s4FZ3vcmY6ItqhkndguN/view?usp=drive_link,,no,3.1.0,1.0.0,subj_A,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,20
Dummy Head / Head & Torso Simulator,VIKING,subj_B,VIKING-subj_B,https://sofacoustics.org/data/database/viking/subj_B.sofa,https://drive.google.com/file/d/1-VkVJknFJJY6EYa8RILUDAiiW8VEqwiP/view?usp=drive_link,,no,3.1.0,1.0.0,subj_B,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,21
Dummy Head / Head & Torso Simulator,VIKING,subj_C,VIKING-subj_C,https://sofacoustics.org/data/database/viking/subj_C.sofa,https://drive.google.com/file/d/1HyqDdIoPMO1LZgzSEwJQZue4aTxRFSab/view?usp=drive_link,,no,3.1.0,1.0.0,subj_C,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,22
Dummy Head / Head & Torso Simulator,VIKING,subj_D,VIKING-subj_D,https://sofacoustics.org/data/database/viking/subj_D.sofa,https://drive.google.com/file/d/1wNq9Vcd6O9orggmYGRuNVkyFGw8CBq3F/view?usp=drive_link,,no,3.1.0,1.0.0,subj_D,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,23
Dummy Head / Head & Torso Simulator,VIKING,subj_E,VIKING-subj_E,https://sofacoustics.org/data/database/viking/subj_E.sofa,https://drive.google.com/file/d/12llxc6vmkkQIi2XX5e9KBPlmRvOaIEyY/view?usp=drive_link,,no,3.1.0,1.0.0,subj_E,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,24
Dummy Head / Head & Torso Simulator,VIKING,subj_F,VIKING-subj_F,https://sofacoustics.org/data/database/viking/subj_F.sofa,https://drive.google.com/file/d/1vnsw1zBnJ3fnIt_hy4xJ9nomn2B6veEj/view?usp=drive_link,,no,3.1.0,1.0.0,subj_F,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,25
Dummy Head / Head & Torso Simulator,VIKING,subj_G,VIKING-subj_G,https://sofacoustics.org/data/database/viking/subj_G.sofa,https://drive.google.com/file/d/1hO8Tc7yo3FO4w3fXCXvyb1kR8zXqWSdd/view?usp=drive_link,,no,3.1.0,1.0.0,subj_G,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,26
Dummy Head / Head & Torso Simulator,VIKING,subj_H,VIKING-subj_H,https://sofacoustics.org/data/database/viking/subj_H.sofa,https://drive.google.com/file/d/1jt7bAG2ZRqi1ftQ2lj_pROdDEuPiNMI4/view?usp=drive_link,,no,3.1.0,1.0.0,subj_H,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,27
Dummy Head / Head & Torso Simulator,VIKING,subj_I,VIKING-subj_I,https://sofacoustics.org/data/database/viking/subj_I.sofa,https://drive.google.com/file/d/1RS4pb3-FsAA828sG6lmTHbdR8PaDO43Z/view?usp=drive_link,,no,3.1.0,1.0.0,subj_I,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,28
Dummy Head / Head & Torso Simulator,VIKING,subj_J,VIKING-subj_J,https://sofacoustics.org/data/database/viking/subj_J.sofa,https://drive.google.com/file/d/1gEe4KtmxympwXzaocVns3JMXvtDTWgkw/view?usp=drive_link,,no,3.1.0,1.0.0,subj_J,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,29
Dummy Head / Head & Torso Simulator,VIKING,subj_K,VIKING-subj_K,https://sofacoustics.org/data/database/viking/subj_K.sofa,https://drive.google.com/file/d/1ond_JfYeMXlKcy-Xg7TSPOw8FB0ZZCHQ/view?usp=drive_link,,no,3.1.0,1.0.0,subj_K,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,30
Dummy Head / Head & Torso Simulator,VIKING,subj_L,VIKING-subj_L,https://sofacoustics.org/data/database/viking/subj_L.sofa,https://drive.google.com/file/d/1Zmor_qv5nDxZ_BMOiD7jrtOBEukYDjsL/view?usp=drive_link,,no,3.1.0,1.0.0,subj_L,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,31
Dummy Head / Head & Torso Simulator,VIKING,subj_M,VIKING-subj_M,https://sofacoustics.org/data/database/viking/subj_M.sofa,https://drive.google.com/file/d/1T79Z1nLoIr5VRmUP-EjvjgpUaStQEphf/view?usp=drive_link,,no,3.1.0,1.0.0,subj_M,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,32
Dummy Head / Head & Torso Simulator,VIKING,subj_N,VIKING-subj_N,https://sofacoustics.org/data/database/viking/subj_N.sofa,https://drive.google.com/file/d/1NjAZtt-xLyw2zuYjMEE-ByHDxVOh9ywP/view?usp=drive_link,,no,3.1.0,1.0.0,subj_N,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,33
Dummy Head / Head & Torso Simulator,VIKING,subj_O,VIKING-subj_O,https://sofacoustics.org/data/database/viking/subj_O.sofa,https://drive.google.com/file/d/1jjYVtqgmeVRKMmVuHlzYNnt2Hx5ChjLq/view?usp=drive_link,,no,3.1.0,1.0.0,subj_O,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,34
Dummy Head / Head & Torso Simulator,VIKING,subj_P,VIKING-subj_P,https://sofacoustics.org/data/database/viking/subj_P.sofa,https://drive.google.com/file/d/1N_I9vopcET9unRbh3wjNFzj5QEIif0eP/view?usp=drive_link,,no,3.1.0,1.0.0,subj_P,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,35
Dummy Head / Head & Torso Simulator,VIKING,subj_Q,VIKING-subj_Q,https://sofacoustics.org/data/database/viking/subj_Q.sofa,https://drive.google.com/file/d/15sGPUhfCNnCZlp9bCIClOIaFC4IqBjci/view?usp=drive_link,,no,3.1.0,1.0.0,subj_Q,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,36
Dummy Head / Head & Torso Simulator,VIKING,subj_R,VIKING-subj_R,https://sofacoustics.org/data/database/viking/subj_R.sofa,https://drive.google.com/file/d/1ViyvrwcVz3q_trIxFWDVBUk4Uu2DT_gJ/view?usp=drive_link,,no,3.1.0,1.0.0,subj_R,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,37
Dummy Head / Head & Torso Simulator,VIKING,subj_S,VIKING-subj_S,https://sofacoustics.org/data/database/viking/subj_S.sofa,https://drive.google.com/file/d/1-8J7sp523N3mVEpn6_rZiWW1nKE4Ozmj/view?usp=drive_link,,no,3.1.0,1.0.0,subj_S,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,38
Dummy Head / Head & Torso Simulator,VIKING,subj_T,VIKING-subj_T,https://sofacoustics.org/data/database/viking/subj_T.sofa,https://drive.google.com/file/d/1WgnnXSZ6z2mBi2bJKvYStJZ1Br4F0Xcg/view?usp=drive_link,,no,3.1.0,1.0.0,subj_T,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,39
Dummy Head / Head & Torso Simulator,VIKING,subj_Z,VIKING-subj_Z,https://sofacoustics.org/data/database/viking/subj_Z.sofa,https://drive.google.com/file/d/1mNARcgUPgbqgoq8u5h2mMNhIu5tu5u2k/view?usp=drive_link,,no,3.1.0,1.0.0,subj_Z,"Simone Spagnol, Riccardo Micciniand Runar Unnthorsson, ‘The Viking HRTF dataset v2’. Zenodo, Oct. 30, 2020. doi: 10.5281/zenodo.4160401.",Creative Commons Attribution 4.0 International,,,,,40
Dummy Head / Head & Torso Simulator,ARI (artificial),Neumann KU 100 (ARI),ARI-KU-100,https://sofacoustics.org/data/database/ari%20(artificial)/dtf%20b_nh172.sofa,https://drive.google.com/file/d/1ry0w1F6VFkBNFw223laJNWpCg0S7msC5/view?usp=drive_link,,no,4.0.0,1.0.0,N/A,"Acoustics Research Institute (ARI), Austrian Academy of Sciences, ""ARI HRTF Database: High-resolution head-related transfer functions of more than 250 subjects,” [Online]. Available: https://www.oeaw.ac.at/isf/outreach/software/hrtf-database","ARI, Austrian Academy of Sciences. Licensed for non-commercial research and educational purposes only. Redistribution and commercial use prohibited.",,,,,41
Dummy Head / Head & Torso Simulator,OlHeaD,B&K Type 4128C (OlHeaD),OlHeaD-B&K-4128C,https://sofacoustics.org/data/database/olhead%20(hrir)/BuK-ECEbl.sofa,https://drive.google.com/file/d/1KqBdghnzCztHT041ex0tHKVFZmj4BbMu/view?usp=drive_link,,no,4.0.0,1.0.0,N/A,"F. Denk, S.M.A. Ernst, S.D. Ewert and B. Kollmeier, (2018): Adapting hearing devices to the individual ear acoustics: Database and target response correction functions for various device styles. Trends in Hearing, vol 22, p. 1-19. DOI: 10.1177/2331216518779313","The data is published under the terms of the Creative Commons BY-NC-SA 4.0 license. You are free to use, transform and redistribute the data for non-commercial purposes, provided the original source is attributed and further distribution is made under the same license as the original.",,,,,42
Dummy Head / Head & Torso Simulator,OlHeaD,KEMAR (OlHeaD),OlHeaD-KEMAR,https://sofacoustics.org/data/database/olhead%20(hrir)/KEMAR-ECEbl.sofa,https://drive.google.com/file/d/1MPFaPFAcwZ2SfjIW1m_evQOYtnnfjudJ/view?usp=drive_link,,no,4.0.0,1.0.0,N/A,"F. Denk, S.M.A. Ernst, S.D. Ewert and B. Kollmeier, (2018): Adapting hearing devices to the individual ear acoustics: Database and target response correction functions for various device styles. Trends in Hearing, vol 22, p. 1-19. DOI: 10.1177/2331216518779313","The data is published under the terms of the Creative Commons BY-NC-SA 4.0 license. You are free to use, transform and redistribute the data for non-commercial purposes, provided the original source is attributed and further distribution is made under the same license as the original.",,,,,43
Dummy Head / Head & Torso Simulator,OlHeaD,DADEC (OlHeaD),OlHeaD-DADEC,https://sofacoustics.org/data/database/olhead%20(hrir)/DADEC-ECEbl.sofa,https://drive.google.com/file/d/1n_PiRqWXtuQQ7DglvSHGh89VR_UzHktd/view?usp=drive_link,,no,4.0.0,1.0.0,N/A,"F. Denk, S.M.A. Ernst, S.D. Ewert and B. Kollmeier, (2018): Adapting hearing devices to the individual ear acoustics: Database and target response correction functions for various device styles. Trends in Hearing, vol 22, p. 1-19. DOI: 10.1177/2331216518779313","The data is published under the terms of the Creative Commons BY-NC-SA 4.0 license. You are free to use, transform and redistribute the data for non-commercial purposes, provided the original source is attributed and further distribution is made under the same license as the original.",,,,,44
